family,anchor,challenger,reference,direction,relative_scale,samples,delta_delta_contrastive_loss,delta_delta_positive_score,delta_delta_hardest_negative_score,delta_delta_positive_margin,delta_delta_reciprocal_rank,delta_delta_top1_accuracy
late,late/adamw-lr1e-5/checkpoint-3907,muon,adamw,descent,0.001,224,-0.009764468379418087,0.0019868769283805576,0.002321621137005942,-0.00033474420862538475,-0.0008184523986918586,0.0
late,late/adamw-lr1e-5/checkpoint-3907,muon,adamw,sign_reversal,0.001,224,0.009405336221481557,-0.0019135044089385442,-0.0022512291158948627,0.00033772470695631843,0.0,0.0
late,late/adamw-lr1e-5/checkpoint-3907,normuon,adamw,descent,0.0001,224,0.0024640518470552104,0.00019744650593825748,0.0002506250249488013,-5.317851901054382e-05,-0.0042410714418760365,-0.008928571428571428
late,late/adamw-lr1e-5/checkpoint-3907,normuon,adamw,descent,0.0003,224,-0.0022326508808379053,0.0006634239107370377,0.0007757022976875305,-0.00011227838695049286,0.000148809514939785,0.0
late,late/adamw-lr1e-5/checkpoint-3907,normuon,adamw,descent,0.001,224,-0.010119626672011226,0.0022101287863084246,0.0025981302772249493,-0.0003880014909165246,-0.000446428544819355,0.0
late,late/adamw-lr1e-5/checkpoint-3907,normuon,adamw,sign_reversal,0.001,224,0.01401492983042891,-0.002142549625464848,-0.0025225946945803507,0.0003800450691155025,-0.0002232142724096775,0.0
late,late/muon-lr1e-3/checkpoint-782,muon,adamw,descent,0.0001,224,-0.0005511086939897769,0.00018779215003762926,0.00023212816034044539,-4.433601030281612e-05,0.000106292510671275,0.0
late,late/muon-lr1e-3/checkpoint-782,muon,adamw,descent,0.0003,224,-0.0016009044895388045,0.000544684539948191,0.0006644635328224727,-0.00011977899287428175,-0.002232142857142857,-0.004464285714285714
late,late/muon-lr1e-3/checkpoint-782,muon,adamw,descent,0.001,224,-0.005907165651424716,0.0019258891365357808,0.00230750601206507,-0.00038161687552928925,-0.00037202385387250355,0.0
late,late/muon-lr1e-3/checkpoint-782,muon,adamw,sign_reversal,0.001,224,0.007356327046348683,-0.0018022667084421431,-0.002206984907388687,0.0004047181989465441,0.000106292510671275,0.0
late,late/muon-lr1e-3/checkpoint-782,normuon,adamw,descent,0.0001,224,0.0010271158065430694,0.00021279949162687575,0.00026289320417812893,-5.009371255125318e-05,-0.002125850346471582,-0.004464285714285714
late,late/muon-lr1e-3/checkpoint-782,normuon,adamw,descent,0.0003,224,-0.002572982997857893,0.0006271587418658393,0.0007670487144163676,-0.0001398899725505284,-0.002232142857142857,-0.004464285714285714
late,late/muon-lr1e-3/checkpoint-782,normuon,adamw,descent,0.001,224,-0.005236320085430878,0.0021478797176054548,0.0025867849056209835,-0.0004389051880155291,-0.00037202385387250355,0.0
late,late/muon-lr1e-3/checkpoint-782,normuon,adamw,sign_reversal,0.001,224,0.010876819812712395,-0.0020258950867823194,-0.002475160573210035,0.00044926548642771583,0.0021896258528743473,0.004464285714285714
late,late/muon-lr1e-3/checkpoint-2345,muon,adamw,descent,0.0001,224,-0.0016586971122478644,0.00025811711592333656,0.00030695434127535136,-4.883722535201481e-05,-0.0005952381262821811,0.0
